ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio
137618,H&Z DISTRIBUIDORA DE PRODUCTOS DE CONSUMO MASIVO DIPCOMAS CIA.LTDA.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,AZUAY,20,1411995.22,426457.1,985538.12,5727371.42,69656.86,38138.18,2024
139598,ORTEGA'S COCOAFARM CIA. LTDA.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,FALSE,GUAYAS,13,1404776.51,456232.86,948543.65,28443264.29,558492.18,414706.96,2024
361393,DACAVI COCOA S.A.S.,A0127,A0127.02 - CULTIVO DE CACAO.,cultivo_fruticola,FALSE,GUAYAS,4,1404348.13,1379032.13,25316,2279803.69,1378032.13,1378032.13,2024
702457,AGRICOLA FERGAIBORE S.A.,G4620,G4620.12 - VENTA AL POR MAYOR DE FRUTOS Y SEMILLAS OLEAGINOSAS.,comercio_mayorista,FALSE,GUAYAS,3,1403529,304846,1098683,1345413,0,50172,2024
724734,YELLOWCORP CIA.LTDA.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,5,1403203.8,-1199600.69,2602804.49,240829.18,0,-2032939.29,2024
149052,HELEANMAR S.A.,G4630,G4630.32 - VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.,comercio_mayorista,FALSE,EL ORO,12,1402065.2,616865.49,785199.71,1744374.44,3424.48,1686.9,2024
89126,MAJAL S.A.,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,FALSE,PICHINCHA,16,1401541,955163.5,446377.5,298387.53,-61310.29,-61310.29,2024
122996,VERZOSI S.A.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,GUAYAS,28,1400694.39,167803.82,1232890.5699999998,3412627.94,0,-73680.29,2024
103463,BARNIOSA S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,78,1396962.99,955864.59,441098.4,1351876.85,-33009.82,-33009.82,2024
300780,DAGALETI COMPAÑIA DE RESPONSABILIDAD LIMITADA,G4630,G4630.91 - VENTA AL POR MAYOR DE ARROZ.,comercio_mayorista,FALSE,IMBABURA,4,1395863.47,639156.45,756707.02,8062680.55,115666.97,86750.23,2024
