ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio,ROE_pct,ROA_pct,margen_neto_pct,margen_operativo_pct,activo_corriente,pasivo_corriente,razon_corriente,prueba_acida,endeudamiento_pct,rotacion_activos
46427,PROVEFRUT S.A.,C1030,"C1030.12 - CONSERVACIÓN DE FRUTAS, PULPA DE FRUTAS, LEGUMBRES Y HORTALIZAS MEDIANTE EL CONGELADO, SECADO, DESHIDRATADO, INMERSIÓN EN ACEITE O VINAGRE, ENLATADO, ETCÉTERA.",procesamiento,False,COTOPAXI,947,78920587.46,57848857.92,21071729.53999999,114346523.31,7847504.89,6441719.12,2024,11.135430070042771,8.162279738813288,5.633506759568132,6.862915165968765,43406323.103,9482278.292999996,4.577625941968335,2.746575565181001,26.699914709428583,1.448880792580963
101314,ORODELTI S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,GUAYAS,3165,76905379.41,32684044.25,44221335.16,98607771.1,6322392.91,5310031.98,2024,16.246557309075975,6.904630106160738,5.38500355576945,6.411657863748226,42297958.6755,19899600.822,2.1255681987719823,1.2753409192631893,57.500964820999116,1.2821960161499188
1849,FERRERO DEL ECUADOR S.A.,C1073,"C1073.21 - ELABORACIÓN DE PRODUCTOS DE CONFITERÍA: CARAMELOS, TURRÓN, GRAGEAS Y PASTILLAS DE CONFITERÍA, GOMA DE MASCAR (CHICLES), CONFITES BLANDOS, CONFITERÍA A BASE DE CHOCOLATE Y CHOCOLATE BLANCO, ETCÉTERA.",procesamiento,False,PICHINCHA,326,73970295.22,55237363.32,18732931.9,72194338.39,9885418.82,6293880.55,2024,11.394245075635517,8.508659498087644,8.717969705602007,13.692789546180368,40683662.371,8429819.355,4.826160639713969,2.895696383828381,25.3249386720509,0.9759909457611599
147750,ACQUASPLENDOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,False,PICHINCHA,159,67707187.0,-15307051.0,83014238.0,10888190.0,0.0,-3698467.0,2024,,-5.462443743232162,-33.96769343665017,0.0,37238952.85,37356407.1,0.9968558472530406,0.5981135083518243,122.60771962066596,0.1608129134060761
145255,SABROSTAR FRUIT COMPANY S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,False,GUAYAS,128,67512376.73,8572728.43,58939648.3,79934654.23,2211194.86,1234368.14,2024,14.398778056241307,1.8283582948598702,1.5442215293110424,2.766253111745023,37131807.201500006,26522841.735,1.3999935441495408,0.8399961264897245,87.30198987915263,1.1840000026910622
12489,PEPSICO ALIMENTOS ECUADOR CIA. LTDA.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,False,PICHINCHA,475,65836661.35,44331015.51,21505645.840000004,70203480.8,6774562.47,4144574.05,2024,9.349152060514122,6.295237281196064,5.903658910884088,9.649895408035096,36210163.74250001,9677540.628000002,3.7416700310958384,2.2450020186575026,32.66515251384327,1.0663280816562852
148781,AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S.A.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,False,GUAYAS,84,59929665.0,14165813.0,45763852.0,335689733.0,16532552.0,12874236.0,2024,90.88243646870109,21.4822425588396,3.835159295741702,4.924950147343351,32961315.750000004,20593733.400000002,1.6005507651177033,0.960330459070622,76.36260272771423,5.601395118761301
67697,SODERAL SOCIEDAD DE DESTILACION DE ALCOHOLES S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,False,GUAYAS,96,59239518.63,29586874.34,29652644.290000003,36204263.33,2094636.71,1430923.97,2024,4.836347204359675,2.4154888545555355,3.952363170484099,5.785607874154196,32581735.246500004,13343689.9305,2.4417335396880837,1.4650401238128499,50.05551188760563,0.6111505320650171
82137,FRUSHI S.A.,A0122,A0122.02 - CULTIVO DE MANGOS.,cultivo_fruticola,False,GUAYAS,4,58074013.5,21805467.35,36268546.15,850860.49,0.0,605130.61,2024,2.775132494465889,1.0419989484625511,71.11983892917627,0.0,31940707.425,16320845.7675,1.9570497681317545,1.1742298608790525,62.45228108782253,0.014651311984834662
131752,BARRY CALLEBAUT ECUADOR S. A.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,False,GUAYAS,172,58026706.04,23103994.22,34922711.82,555289378.21,1330958.33,1294702.42,2024,5.603803427544314,2.2312181896168855,0.2331581461495861,0.2396873382110069,31914688.322,15715220.319,2.0308139290554226,1.2184883574332535,60.183860507136934,9.569548508013156
1833,PALMERAS DE LOS ANDES SA,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,False,PICHINCHA,843,55110948.16,35763560.68,19347387.48,33400719.16,451562.79,177326.39,2024,0.4958297961063088,0.3217625461372574,0.5309059040032957,1.3519552912524773,30311021.488,8706324.366,3.4814946254898125,2.0888967752938874,35.106250438352106,0.606063228363081
62743,ECO-KAKAO S.A.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,False,GUAYAS,84,51231009.23,12212393.57,39018615.66,346178956.84,11954467.67,9210032.43,2024,75.41545706997714,17.97745656083379,2.6604830386200433,3.45326237594656,28177055.076500002,17558377.047,1.6047642103296955,0.9628585261978173,76.16210620569109,6.757215249963952
310750,FLORAFOOD ECUADOR CIA.LTDA.,G4630,G4630.93 - VENTA AL POR MAYOR DE PRODUCTOS DE PANADERÍA Y REPOSTERÍA.,comercio_mayorista,False,GUAYAS,26,50252572.0,32744002.0,17508570.0,23679865.0,-1436465.0,-1853391.0,2024,-5.660245806239567,-3.688151523866281,-7.8268647224129015,-6.066187455038278,27638914.6,7878856.5,3.5079855306414074,2.1047913183848443,34.841142061345636,0.47121697572016813
